Coste;Categoria;Porcentaje
0-1000;Terreno;18,35
1000-2000;Terreno;21,12
2000-3000;Terreno;19,29
3000-4000;Terreno;15,45
4000-5000;Terreno;10,97
5000-6000;Terreno;6,91
6000-7000;Terreno;3,96
7000-8000;Terreno;2,03
8000-9000;Terreno;1,03
9000-10000;Terreno;0,57
10000-11000;Terreno;0,25
11000-12000;Terreno;0,06
12000-13000;Terreno;0,01
0-1000;Yacimiento;9,52
1000-2000;Yacimiento;14,29
2000-3000;Yacimiento;28,57
3000-4000;Yacimiento;23,81
4000-5000;Yacimiento;23,81
5000-6000;Yacimiento;0
6000-7000;Yacimiento;0
7000-8000;Yacimiento;0
8000-9000;Yacimiento;0
9000-10000;Yacimiento;0
10000-11000;Yacimiento;0
11000-12000;Yacimiento;0
12000-13000;Yacimiento;0
